,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,event_ID,event_CLEANED,elo_rating,seen,instability,Health,Financial,Relationship,Bereavement,Work,Crime,Daily,Major
0,0,0,0,0,0,0,0,0,0,0,1,That I get allowed to retake my first year at university due to having lots of personal issues happen,1141,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,3,I had made a request to work for different working arrangement's and it was denied and I thought it would be accepted and thus now I am trying to look for a new job and not happy in my role. ,957,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,3,4,My partner cheated on me,905,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,5,6,I missed a flight and had to pay extra to hire a car.,972,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,4,6,7,I have been trying to get into a new routine but I slept in and was almost late for work ,975,0,0,0,0,0,0,0,0,0,0
5,5,5,5,5,5,5,5,5,5,7,8,I have been trying to find a job for a long time so that I may bring my wife over from another country as there are a lot of requirements to do so and I finally have been able to obtain a job which can do that.,1125,0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,6,6,6,6,6,9,10,"Wife trying to endlessly get through registration process with GMC, they keep asking difficult questions because my wife can register and work in nhs as a doctor. Problem is, everytime she responds it takes nearly 2 weeks for a response, to get another vague question.",940,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,7,7,10,11,It was my girlfriend's masters degree graduation and I am feeling very proud and elated for her.,1141,1,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,8,8,8,8,11,12,Car crash,926,1,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9,12,13,Lost a lot of hours at work,912,0,0,0,0,0,0,0,0,0,0
10,10,10,10,10,10,10,10,10,10,13,14,"My partner and I are currently preparing for a day at the beach, and my mum has just given me a gift of money towards my wedding so that just feels like everything is working out for me today. ",1074,1,0,0,0,0,0,0,0,0,0
11,11,11,11,11,11,11,11,11,11,14,15,Doctor's appointment and understanding what is going on,932,0,0,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,12,12,15,16,"I made a mistake at work, and now I feel like I am being held back which is making me feel trapped.",887,0,0,0,0,0,0,0,0,0,0
13,13,13,13,13,13,13,13,13,13,16,17,A girl I was seeing and actually liked said she didn't want to see me any longer. ,972,1,0,0,0,0,0,0,0,0,0
14,14,14,14,14,14,14,14,14,14,17,18,Under-performance for a client at work,904,1,0,0,0,0,0,0,0,0,0
15,15,15,15,15,15,15,15,15,15,18,19,I celebrated my birthday which i really enjoyed. ,1110,1,0,0,0,0,0,0,0,0,0
16,16,16,16,16,16,16,16,16,16,19,20,A falling out with one of my best friends,928,1,0,0,0,0,0,0,0,0,0
17,17,17,17,17,17,17,17,17,17,21,22,I thought that I had a guaranteed summer job but it turns out that the hiring process is more complicated than I thought so now I may have to wait even longer to start or I may not even have this job at all. ,917,0,0,0,0,0,0,0,0,0,0
18,18,18,18,18,18,18,18,18,18,22,23,birth of our fourth child two weeks ago,1125,0,0,0,0,0,0,0,0,0,0
19,19,19,19,19,19,19,19,19,19,23,24,"My best mate broke up with his long-term girlfriend, and it's affected me a lot more than I thought it would. ",932,0,0,0,0,0,0,0,0,0,0
20,20,20,20,20,20,20,20,20,20,24,25,I heard from someone that I haven't heard from for a long time and it made me very happy that they reached out ,1087,0,0,0,0,0,0,0,0,0,0
21,21,21,21,21,21,21,21,21,21,25,26,I finally paid for my wedding registration and was happy that i didnt need to worry about anything else,1055,0,0,0,0,0,0,0,0,0,0
22,22,22,22,22,22,22,22,22,22,26,27,My best friend is currently in hospital undergoing tests to find out if she has appendicitis,977,0,0,0,0,0,0,0,0,0,0
23,23,23,23,23,23,23,23,23,23,27,28,my dog had major surgery,907,2,0,0,0,0,0,0,0,0,0
24,24,24,24,24,24,24,24,24,24,28,29,My house is currently on the market and I had a discussion with the agent about reducing the price as it hasn't yet sold,962,0,0,0,0,0,0,0,0,0,0
